original,gt_full,pred_full,seg_f1,punc_f1,punc_and_seg_f1,fidelity,osc
春秋左傳定公,春秋 左傳 定公,，，春秋左傳定公。，。，，。。，,0.0,0.0,0.0,1.0,0.0
元年春王正月辛巳晉魏舒合諸侯之大夫于狄泉將以城成周,元年 ， 春 ， 王 正月 辛巳 ， 晉 魏舒 合 諸侯 之 大夫 于 狄泉 ， 將 以 城 成周 。,"，。，《》，、。：- ""元年春王正月辛巳晉魏舒合諸侯之大夫于狄泉將""：，，。，，，。以城成周",0.0,0.0,0.0,1.0,0.0
魏子蒞政,魏子 蒞政 。,魏子蒞政，。，，。，（）、，-:、。，,0.0,1.0,0.0,1.0,0.0
衛彪傒曰“將建天子而易位以令非義也大事奸義必有大咎晉不失諸侯魏子其不免乎”,衛 彪傒 曰 ： “ 將 建 天子 ， 而 易位 以 令 ， 非 義 也 。 大事 奸 義 ， 必 有 大咎 。 晉 不 失 諸侯 ， 魏子 其 不免 乎 ！ ”,，。，。：衛彪傒曰“將建天子而易位以令非義也大事奸義必有大咎晉不失諸侯魏子其不免乎”。，（）。，，。，,0.0,0.0,0.0,1.0,0.0
是行也魏獻子屬役於韓簡子及原壽過而田於大陸焚焉還卒於甯,是 行 也 ， 魏獻子 屬役 於 韓簡子 及 原壽過 ， 而 田 於 大陸 ， 焚 焉 ， 還 ， 卒 於 甯 。,是 行 也  魏 獻 子 屬 役 於 韓 簡 子 及 原壽  過 而 田 於 大陸  焚 焉還   卒 於甯  ,0.5238095238095238,0.0,0.5238095238095238,1.0,0.0
范獻子去其柏槨以其未復命而田也,范獻子 去 其 柏槨 ， 以 其 未 復命 而 田 也 。,范 獻子  去 其 柏槨  以  其 未 復命  而  田  也 ,0.8695652173913043,0.0,0.8695652173913043,1.0,0.0
孟懿子會城成周庚寅栽,孟懿子 會 城 成周 ， 庚寅 ， 栽 。,"，。，""孟懿子""，，《》。""會城成周庚寅栽""，：""""，""""，",0.0,0.0,0.0,1.0,0.0
宋仲幾不受功曰“滕薛郳吾役也”,宋 仲幾 不 受功 ， 曰 ： “ 滕 、 薛 、 郳 ， 吾 役 也 。 ”,宋仲幾 不 受 功 曰 “ 滕 薛郳  吾 役 也 ”,0.64,0.0,0.64,1.0,0.0
薛宰曰“宋為無道絕我小國於周以我適楚故我常從宋晉文公為踐土之盟曰‘凡我同盟各復舊職’若從踐土若從宋亦唯命”,薛宰 曰 ： “ 宋 為 無道 ， 絕 我 小國 於 周 ， 以 我 適 楚 ， 故 我 常 從 宋 。 晉文公 為 踐土 之 盟 ， 曰 ： ‘ 凡 我 同盟 ， 各 復 舊職 。 ’ 若 從 踐土 ， 若 從 宋 ， 亦 唯 命 。 ”,薛宰 曰 “ 宋 為 無 道絕  我 小 國 於 周 以 我 適 楚 故 我 常 從 宋 晉 文 公 為 踐 土 之 盟 曰‘  凡 我 同 盟 各 復舊  職’  若 從 踐 土 若 從 宋 亦 唯 命 ”,0.6956521739130435,0.0,0.6956521739130435,1.0,0.0
仲幾曰“踐土固然”,仲幾 曰 ： “ 踐土 固 然 。 ”,仲幾 曰 “ 踐土固然  ”,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0
